s_no,station,location_name,plot_type,ymin,ymax
1,C_LWSTN,Trinity River Flow below Lewiston,exceedance,,
2,C_LWSTN,Trinity River Flow below Lewiston,monthly,,
3,C_CLR011,Clear Creek below Whiskeytown Dam Flow,exceedance,0,4500
4,C_CLR011,Clear Creek below Whiskeytown Dam Flow,monthly,,900
5,C_KSWCK,Sacramento River Flow downstream of Keswick Reservoir,exceedance,,
6,C_KSWCK,Sacramento River Flow downstream of Keswick Reservoir,monthly,,
7,C_SAC257,Sacramento River Flow at Bend Bridge,exceedance,,
8,C_SAC257,Sacramento River Flow at Bend Bridge,monthly,,
9,C_SAC240,Sacramento River below Red Bluff Diversion Dam Flow,exceedance,,
10,C_SAC240,Sacramento River below Red Bluff Diversion Dam Flow,monthly,,
11,C_SAC201,Sacramento River Flow at Hamilton City,exceedance,,
12,C_SAC201,Sacramento River Flow at Hamilton City,monthly,,
13,C_SAC120,Sacramento River at Wilkins Slough Flow,exceedance,,
14,C_SAC120,Sacramento River at Wilkins Slough Flow,monthly,,
15,C_FTR059,Feather River Flow downstream of Thermalito,exceedance,,
16,C_FTR059,Feather River Flow downstream of Thermalito,monthly,,
17,C_FTR003,Feather River at Sacramento River Confluence Flow,exceedance,,
18,C_FTR003,Feather River at Sacramento River Confluence Flow,monthly,,
19,SP_SAC083_YBP037,Fremont Weir Spills,exceedance,,
20,SP_SAC083_YBP037,Fremont Weir Spills,monthly,,
21,C_YBP020,Yolo Bypass Flow,exceedance,,
22,C_YBP020,Yolo Bypass Flow,monthly,,
23,C_NTOMA,American River below Nimbus Dam Flow,exceedance,,
24,C_NTOMA,American River below Nimbus Dam Flow,monthly,,
25,C_AMR004,American River at H Street,exceedance,,
26,C_AMR004,American River at H Street,monthly,,
27,C_SAC048,Sacramento River Flow at Freeport,exceedance,,
28,C_SAC048,Sacramento River Flow at Freeport,monthly,,
29,C_SAC007,Sacramento River Flow at Rio Vista,exceedance,,
30,C_SAC007,Sacramento River Flow at Rio Vista,monthly,,
31,C_SJR225,San Joaquin River Flow at Gravelly Ford,exceedance,,
32,C_SJR225,San Joaquin River Flow at Gravelly Ford,monthly,,
33,C_SJR180,San Joaquin River Flow below Sack Dam,exceedance,,
34,C_SJR180,San Joaquin River Flow below Sack Dam,monthly,,
35,C_SJR115,San Joaquin River Flow below confluence with Merced,exceedance,,
36,C_SJR115,San Joaquin River Flow below confluence with Merced,monthly,,
37,C_STS059,Stanislaus River Flow below Goodwin,exceedance,,
38,C_STS059,Stanislaus River Flow below Goodwin,monthly,,
39,C_STS004,Stanislaus River Flow at Mouth,exceedance,,
40,C_STS004,Stanislaus River Flow at Mouth,monthly,,
