Var Name,Standard Name,WYT,Sac Index Val,NumDays,Start Date 1,End Date 1,Val1,Start Date 2,End Date 2,Val2,Start Date 3,End Date 3,Val3,Start Date 4,End Date 4,Val4,Start Date 5,End Date 5,Val5,Start Date 6,End Date 6,Val6
RSAC092,D1641 AG,W ,1,NA,1-Apr,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAC092,D1641 AG,AN,2,NA,1-Apr,1-Jul,0.45,2-Jul,15-Aug,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAC092,D1641 AG,BN,3,NA,1-Apr,20-Jun,0.45,21-Jun,15-Aug,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAC092,D1641 AG,D,4,NA,1-Apr,15-Jun,0.45,16-Jun,15-Aug,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAC092,D1641 AG,C,5,NA,1-Apr,1-Apr,2.78,1-Apr,15-Aug,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN018,D1641 AG,W ,1,NA,1-Apr,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN018,D1641 AG,AN,2,NA,1-Apr,15-Aug,0.45,15-Aug,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN018,D1641 AG,BN,3,NA,1-Apr,20-Jun,0.45,21-Jun,15-Aug,0.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN018,D1641 AG,D,4,NA,1-Apr,15-Jun,0.45,16-Jun,15-Aug,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN018,D1641 AG,C,5,NA,1-Apr,1-Apr,2.2,1-Apr,15-Aug,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSMKL008,D1641 AG,W ,1,NA,1-Apr,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSMKL008,D1641 AG,AN,2,NA,1-Apr,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSMKL008,D1641 AG,BN,3,NA,1-Apr,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSMKL008,D1641 AG,D,4,NA,1-Apr,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSMKL008,D1641 AG,C,5,NA,1-Apr,1-Apr,0.54,1-Apr,15-Aug,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 AG,W ,1,NA,1-Apr,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 AG,AN,2,NA,1-Apr,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 AG,BN,3,NA,1-Apr,15-Aug,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 AG,D,4,NA,1-Apr,25-Jun,0.45,26-Jun,15-Aug,0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN032,D1641 AG,C,5,NA,1-Apr,1-Apr,0.87,1-Apr,15-Aug,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN112,D1641 AG,W ,1,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN112,D1641 AG,AN,2,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN112,D1641 AG,BN,3,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN112,D1641 AG,D,4,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN112,D1641 AG,C,5,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN072,D1641 AG,W ,1,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN072,D1641 AG,AN,2,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN072,D1641 AG,BN,3,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN072,D1641 AG,D,4,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN072,D1641 AG,C,5,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
OLDR_MIDR,D1641 AG,W ,1,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
OLDR_MIDR,D1641 AG,AN,2,NA,1-Jan,31-Mar,1,1-Apr,31-Aug,0.7,1-Sep,31-Dec,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
