Var Name,Standard Name,WYT,Sac Index Val,NumDays,Start Date 1,End Date 1,Val1,Start Date 2,End Date 2,Val2,Start Date 3,End Date 3,Val3,Start Date 4,End Date 4,Val4,Start Date 5,End Date 5,Val5,Start Date 6,End Date 6,Val6
ROLD024,D1641 MI,W ,1,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROLD024,D1641 MI,AN,2,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROLD024,D1641 MI,BN,3,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROLD024,D1641 MI,D,4,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROLD024,D1641 MI,C,5,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHSWP003,D1641 MI,W ,1,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHSWP003,D1641 MI,AN,2,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHSWP003,D1641 MI,BN,3,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHSWP003,D1641 MI,D,4,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHSWP003,D1641 MI,C,5,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHDMC006,D1641 MI,W ,1,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHDMC006,D1641 MI,AN,2,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHDMC006,D1641 MI,BN,3,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHDMC006,D1641 MI,D,4,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHDMC006,D1641 MI,C,5,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLBAR002,D1641 MI,W ,1,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLBAR002,D1641 MI,AN,2,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLBAR002,D1641 MI,BN,3,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLBAR002,D1641 MI,D,4,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLBAR002,D1641 MI,C,5,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLCCH016,D1641 MI,W ,1,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLCCH016,D1641 MI,AN,2,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLCCH016,D1641 MI,BN,3,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLCCH016,D1641 MI,D,4,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLCCH016,D1641 MI,C,5,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,W ,1,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,AN,2,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,BN,3,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,D,4,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,C,5,NA,1-Jan,31-Dec,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
