Var Name,Standard Name,WYT,Sac Index Val,NumDays,Start Date 1,End Date 1,Val1,Start Date 2,End Date 2,Val2,Start Date 3,End Date 3,Val3,Start Date 4,End Date 4,Val4,Start Date 5,End Date 5,Val5,Start Date 6,End Date 6,Val6
ROLD024,D1641 MI,W ,1,240,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROLD024,D1641 MI,AN,2,190,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROLD024,D1641 MI,BN,3,175,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROLD024,D1641 MI,D,4,165,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROLD024,D1641 MI,C,5,155,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,W ,1,240,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,AN,2,190,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,BN,3,175,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,D,4,165,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RSAN007,D1641 MI,C,5,155,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
