YEAR,Sac Index Value,Sac Index
1921,2,Above Normal
1922,2,Above Normal
1923,3,Below Normal
1924,5,Critically
1925,4,Dry
1926,4,Dry
1927,1,Wet
1928,2,Above Normal
1929,5,Critically
1930,4,Dry
1931,5,Critically
1932,5,Critically
1933,5,Critically
1934,5,Critically
1935,3,Below Normal
1936,3,Below Normal
1937,3,Below Normal
1938,1,Wet
1939,4,Dry
1940,2,Above Normal
1941,1,Wet
1942,1,Wet
1943,1,Wet
1944,4,Dry
1945,4,Dry
1946,3,Below Normal
1947,4,Dry
1948,4,Dry
1949,4,Dry
1950,4,Dry
1951,2,Above Normal
1952,1,Wet
1953,2,Above Normal
1954,2,Above Normal
1955,4,Dry
1956,1,Wet
1957,3,Below Normal
1958,1,Wet
1959,3,Below Normal
1960,4,Dry
1961,4,Dry
1962,4,Dry
1963,1,Wet
1964,4,Dry
1965,1,Wet
1966,3,Below Normal
1967,1,Wet
1968,3,Below Normal
1969,1,Wet
1970,1,Wet
1971,1,Wet
1972,3,Below Normal
1973,2,Above Normal
1974,1,Wet
1975,2,Above Normal
1976,5,Critically
1977,5,Critically
1978,2,Above Normal
1979,4,Dry
1980,2,Above Normal
1981,4,Dry
1982,1,Wet
1983,1,Wet
1984,1,Wet
1985,3,Below Normal
1986,1,Wet
1987,4,Dry
1988,5,Critically
1989,4,Dry
1990,5,Critically
1991,5,Critically
1992,5,Critically
1993,2,Above Normal
1994,5,Critically
1995,1,Wet
1996,1,Wet
1997,1,Wet
1998,1,Wet
1999,1,Wet
2000,2,Above Normal
2001,4,Dry
2002,3,Below Normal
2003,2,Above Normal
2004,2,Above Normal
2005,3,Below Normal
2006,1,Wet
2007,3,Below Normal
2008,4,Dry
2009,4,Dry
2010,3,Below Normal
2011,1,Wet
2012,3,Below Normal
2013,4,Dry
2014,5,Critically
2015,5,Critically
2016,3,Below Normal
2017,1,Wet
2018,3,Below Normal
2019,1,Wet
2020,4,Dry
2021,5,Critically
